sensor_id,sensor_name,latitude,longitude
1,Bou292_T,-37.81349441,144.96515323
2,Bou283_T,-37.81380668,144.96516718
3,Swa295_T,-37.81101524,144.96429485
4,Swa123_T,-37.81487988,144.9660878
5,PriNW_T,-37.81874249,144.96787656
6,FliS_T,-37.81911705,144.96558255
8,WebBN_T,-37.82293543,144.9471751
9,Col700_T,-37.81982992,144.95102555
10,BouHbr_T,-37.81876474,144.94710545
11,WatCit_T,-37.81564989,144.93970694
12,NewQ_T,-37.81457988,144.94292398
14,SanBri_T,-37.82011242,144.96291897
17,Col15_T,-37.81362543,144.97323591
18,Col12_T,-37.81344862,144.97305353
19,LtB210_T,-37.81237202,144.96550671
20,LtB170_T,-37.81172914,144.9682466
21,Bourke155_T,-37.81267313,144.96788288
23,Col623_T,-37.81909256,144.95452748
24,Col620_T,-37.81887963,144.95449198
25,MCEC_T,-37.82401776,144.95604426
27,Vic_T,-37.80606888,144.95644692
28,VAC_T,-37.82129925,144.96879309
29,AG_T,-37.8199817,144.96872865
30,Lon189_T,-37.8112185,144.96656806
31,Lyg161_T,-37.80169681,144.96658911
35,SouthB_T,-37.82018685,144.96508508
36,Que85_T,-37.81652527,144.96121062
37,Lyg260_T,-37.80107122,144.96704554
39,AlfPl_T,-37.81379749,144.96995745
40,Spr201_T,-37.80999341,144.97227587
41,Swa31,-37.81668634,144.96689733
42,UM1_T,-37.80008566,144.96386412
43,UM2_T,-37.79844526,144.96411782
44,UM3_T,-37.79698741,144.96441306
45,Swa148_T,-37.81414075,144.96609379
46,Pel147_T,-37.80240719,144.9615673
47,Eli250_T,-37.81258467,144.9625775
48,QVMQ_T,-37.80631581,144.95866697
49,Eli501_T,-37.80730068,144.95956055
50,Lyg309_T,-37.79808192,144.96721013
51,Fra118_T,-37.80841815,144.95906316
52,Eli263_T,-37.81252157,144.9619401
53,Col254_T,-37.81564191,144.965499
54,Swa607_T,-37.804024,144.96308399
55,Eli380_T,-37.80988941,144.96134331
56,Lon364_T,-37.81234775,144.96153311
58,Bou688_T,-37.81686075,144.95358075
59,RMIT_T,-37.80825648,144.96304859
61,RMIT14_T,-37.80767455,144.96309114
62,Lat224_T,-37.80996494,144.96216521
63,Bou231_T,-37.81333081,144.96675571
65,SwaCs_T,-37.81569416,144.9668064
66,QVN_T,-37.81057846,144.96444294
67,FLDegS_T,-37.81688755,144.96562569
68,FLDegN_T,-37.8168479,144.96559789
69,FLDegC_T,-37.81687226,144.96559144
70,Errol20_T,-37.80456984,144.94946228
71,WestWP_T,-37.81235775,144.97136962
72,ACMI_T,-37.81726338,144.96872809
75,SprFli_T,-37.81515276,144.97467661
76,KenMac_T,-37.79453803,144.93036194
77,HarEsP_T,-37.81441438,144.94433026
78,HarEsB_T,-37.81471642,144.9446508
79,FliSS_T,-37.81794046,144.96616678
80,BoCoR_T,-37.8254567,144.96131206
81,BoCoF_T,-37.82579138,144.96084343
82,Eli512_T,-37.80667227,144.96005554
83,Eli510_T,-37.8067319,144.96005113
84,ElFi_T,-37.81798049,144.96503383
85,488Mac_T,-37.79432415,144.92973378
86,574Qub_T,-37.80309992,144.94908064
87,Errol23_T,-37.80454949,144.94921863
89,CityLi_T,-37.81685964,144.96586575
90,BoCoL_T,-37.82556207,144.96115421
91,DocLib1_T,-37.8200188,144.94029861
92,DocLib2_T,-37.82016286,144.94039584
93,EastLib_T,-37.81498411,144.98638807
94,FitConVis_T,-37.81424531,144.97851861
95,FitGarExtVisExt_T,-37.81488315,144.97926569
96,FitGarVisIInt_T,-37.81499687,144.97925064
99,TownVis_T,-37.81462143,144.96623279
102,NtMelLib_T,-37.80340543,144.94977011
103,KenTown_T,-37.7893527,144.9286055
104,KatLib1_T,-37.79863553,144.96548206
105,KatLib2_T,-37.79861828,144.9652825
106,KatLib3_T,-37.79859459,144.96510921
107,280Will_T,-37.81246271,144.95690188
108,261Will_T,-37.81295822,144.95678789
108,261Will_T,-37.81295822,144.95678789
108,261Will_T,-37.81295822,144.95678789
109,LatWill_T,-37.81193681,144.95621105
116,FitCafVis_T,-37.81493732,144.97932442
117,Fli114F_T,-37.81629332,144.97090877
118,Fli114C_T,-37.81632783,144.97090512
123,BirBridge_T,-37.81757416,144.97329934
123,BirBridge_T,-37.81753741,144.97329734
124,BirBridge_T,-37.81757416,144.97329934
124,BirBridge_T,-37.81753741,144.97329734
130,Bou892T,-37.8204637,144.94126826
131,King2_T,-37.82009057,144.95758725
132,King335_T,-37.81267639,144.95386444
133,Spen229_T,-37.81531435,144.95227769
134,Spen201_T,-37.81694221,144.95303935
135,Spen161_T,-37.8172861,144.95319102
136,BirFed1120_T,-37.8184141,144.97357915
